HAVG,AAVG,HSLG,ASLG,HOBP,AOBP,HRBIP,ARBIP,HOAVG,AOAVG,HOOBP,AOOBP,HWHIP,AWHIP,HERA,AERA,HQSP,AQSP,HPhyta,APhyta,HRank,HWP,AWP,HOPS,AOPS,HGPA,AGPA,HERA * ARBIP,AERA * HRBIP,HWHIP * AGPA / 9,AWHIP * HGPA / 9,(HPhyta + HWP)/2,(APhyta + AWP)/2,HHitter,AHitter,HPitcher,APitcher,HResult
0.274,0.2828,0.4504,0.4197,0.3459,0.3607,3.1889,3.3182,0.3398,0.2608,0.4333,0.3103,1.84,1.3143,8.28,4.0286,0.6429,0.7059,0.4568057419712431,0.4802589985884592,0.4691,0.4691,0.4881,0.7963,0.7804,0.268255,0.274915,27.474695999999998,12.846802539999999,0.05620484444444445,0.03917417183333334,0.46295287098562155,0.4841794992942296,4.2592,4.3814,11.536000000000001,6.6198999999999995,win
0.2841,0.2616,0.4604,0.3911,0.3608,0.3408,3.6882,2.6848,0.3262,0.2578,0.3891,0.2959,1.7636,1.1838,5.5636,4.2324,0.7931,0.65,0.48792550462605083,0.4483759339601052,0.4638,0.4638,0.4566,0.8211999999999999,0.7319,0.27746,0.26846,14.93715328,15.609937680000002,0.05260622844444444,0.036495238666666666,0.47586275231302544,0.4524879669800526,4.7935,3.6783,8.835600000000001,6.6199,lose
0.2952,0.2994,0.4497,0.48,0.374,0.3761,3.0778,4.9891,0.251,0.2986,0.3766,0.3628,1.7206,1.6507,5.9559,7.3636,0.6667,0.4667,0.5363311849735795,0.6066497194821073,0.5151,0.5151,0.5788,0.8237,0.8561,0.280725,0.28167,29.71458069,22.66368808,0.05384904466666666,0.05148808416666667,0.5257155924867898,0.5927248597410537,4.1967,6.1446,8.9708,10.142399999999999,lose
0.2759,0.2734,0.4065,0.4511,0.3648,0.3455,3.25,3.2088,0.269,0.2568,0.3586,0.3293,1.5392,1.3393,5.1176,3.375,0.65,0.7143,0.47136853983161214,0.45828728055294976,0.4777,0.4777,0.4702,0.7713,0.7966,0.265785,0.2571,16.421354880000003,10.96875,0.04396981333333333,0.039551761166666664,0.47453426991580605,0.4642436402764749,4.2972,4.2788,7.9344,6.0146999999999995,lose
0.2875,0.3089,0.4555,0.5158,0.3645,0.3889,5.3297,5.5109,0.2568,0.3008,0.3197,0.4188,1.2368,2.0211,3.6711,7.3895,0.8235,0.6111,0.5784067438429464,0.5846009125423385,0.5348,0.5348,0.5678,0.8200000000000001,0.9047000000000001,0.27790000000000004,0.28888,20.23106499,39.383818149999996,0.039698531555555555,0.062407076666666686,0.5566033719214732,0.5762004562711692,6.4372,6.724500000000001,6.3079,10.7413,lose
0.2776,0.2831,0.4106,0.4725,0.3569,0.364,2.7609,4.3723,0.2031,0.2967,0.32,0.3885,1.4375,1.7228,4.5,6.2822,0.8182,0.75,0.3306979142673653,0.48533361287265214,0.3918,0.3918,0.4628,0.7675000000000001,0.8365,0.263255,0.26645,19.67535,17.344525979999997,0.04255798611111111,0.05039285711111111,0.36124895713368266,0.47406680643632604,3.806,5.4919,7.2787999999999995,9.4402,lose
0.2923,0.3044,0.4452,0.481,0.3715,0.381,2.9341,5.2903,0.328,0.248,0.3957,0.2843,1.814,1.125,7.2209,3.5186,0.4286,0.6316,0.5293738490407585,0.6112406142165011,0.5142,0.5142,0.5833,0.8167,0.862,0.278475,0.28275,38.20072727,10.32392426,0.05698983333333333,0.034809375,0.5217869245203792,0.5972703071082506,4.0431,6.4567,10.1872,5.8075,lose
0.28,0.2602,0.4186,0.3896,0.3593,0.3379,3.6889,2.9255,0.3333,0.2857,0.3667,0.3248,1.65,1.2133,8.775,3.24,0.3333,0.7692,0.48164097370505665,0.4503536056165933,0.4884,0.4884,0.4588,0.7779,0.7275,0.266335,0.256705,25.6712625,11.952036,0.04706258333333333,0.035904917277777774,0.4850204868525283,0.45457680280829665,4.7468,3.9132,11.4583,5.833,lose
0.2717,0.2765,0.4169,0.4574,0.3681,0.3513,2.6022,3.2717,0.2519,0.266,0.3497,0.3391,1.5,1.4286,5.8981,4.1597,0.6829,0.5238,0.4643443442087578,0.4672079329551467,0.4768,0.4768,0.4794,0.7849999999999999,0.8087,0.26987,0.26231,19.29681377,10.824371339999999,0.04371833333333333,0.04283736466666667,0.4705721721043789,0.47330396647757333,3.6589,4.3568999999999996,8.6826,6.7172,lose
0.2919,0.3139,0.4592,0.5264,0.3692,0.3918,4.9022,5.2581,0.2706,0.2805,0.3224,0.3375,1.3256,1.3976,3.9767,4.3264,0.5714,0.6842,0.5747590049409784,0.5862167517961893,0.5339,0.5339,0.5691,0.8284,0.9181999999999999,0.28093999999999997,0.29111,20.90988627,21.208878079999998,0.042877268444444436,0.04362686044444444,0.5543295024704893,0.5776583758980947,6.022499999999999,6.4902,6.4666999999999994,7.026199999999999,win
0.2764,0.2861,0.41,0.4824,0.3523,0.372,3.1505,4.2,0.262,0.25,0.3547,0.315,1.5311,1.2329,4.1452,3.5507,0.7143,0.7619,0.32456437666891746,0.49457524811611425,0.391,0.391,0.4742,0.7623,0.8544,0.261035,0.2699,17.40984,11.18648035,0.04591598777777777,0.03575889461111112,0.35778218833445874,0.48438762405805713,4.1892,5.3405000000000005,7.0073,6.1105,win
0.3016,0.3043,0.4615,0.4818,0.384,0.3804,3.8152,5.3085,0.27,0.2445,0.3409,0.3108,1.3798,1.266,3.4451,3.1765,0.7368,0.75,0.525451758650595,0.6136414380576574,0.5133,0.5133,0.5856,0.8455,0.8622000000000001,0.288175,0.286555,18.288313350000003,12.1189828,0.04393206544444444,0.040536616666666664,0.5193758793252975,0.5996207190288287,4.9623,6.4750000000000005,6.1726,5.7478,win
0.2797,0.2614,0.4141,0.397,0.363,0.3363,3.2747,2.8632,0.2471,0.253,0.3171,0.3727,1.3414,1.6062,3.426,4.9015,0.7222,0.6818,0.47764142911016294,0.45498705073974294,0.4874,0.4874,0.463,0.7771,0.7333000000000001,0.266875,0.25486,9.8093232,16.050942050000003,0.0379854671111111,0.04762829166666666,0.4825207145550815,0.4589935253698715,4.3315,3.8579,6.0538,7.8152,win
0.2673,0.2776,0.4026,0.4585,0.3598,0.3521,2.8617,3.3226,0.2705,0.285,0.3782,0.3565,1.6255,1.5,4.8406,4.1538,0.76,0.8571,0.4640345336863015,0.46882377078114773,0.4759,0.4759,0.4811,0.7624,0.8106,0.26256,0.259095,16.083377560000002,11.886929460000001,0.046795435833333336,0.04376,0.4699672668431507,0.4749618853905739,3.8914,4.4108,7.8748000000000005,7.1524,lose
0.2912,0.3126,0.4575,0.5247,0.3688,0.3909,4.8817,5.234,0.2281,0.2455,0.2916,0.3056,1.0747,1.268,3.0619,3.6881,0.85,0.5714,0.5751491964519304,0.5848646035266849,0.5347,0.5347,0.5674,0.8263,0.9156000000000001,0.280335,0.29028,16.0259846,18.00419777,0.034662657333333326,0.039496086666666666,0.5549245982259652,0.5761323017633424,5.9992,6.4622,5.5062999999999995,6.0786,win
0.2622,0.2857,0.3912,0.4488,0.341,0.3622,2.9688,5.4043,0.2697,0.254,0.3393,0.3686,1.3846,1.5781,4.5,4.9219,0.7143,0.7222,0.4495626210123745,0.5753828344694978,0.4586,0.4586,0.5355,0.7322,0.8109999999999999,0.25125,0.26079,24.31935,14.612136719999999,0.04012109266666667,0.04405529166666666,0.4540813105061873,0.5554414172347488,3.9631999999999996,6.501,7.2078999999999995,7.8448,lose
0.3035,0.2747,0.5061,0.453,0.3834,0.3482,5.6737,3.3404,0.2546,0.2168,0.3178,0.3059,1.3059,1.2128,4.2882,2.0106,0.6923,0.8095,0.5833803700088677,0.4699924902452833,0.5654,0.5654,0.4823,0.8895,0.8012,0.299055,0.283215,14.324303279999999,11.40754122,0.0410944965,0.04029932266666667,0.5743901850044338,0.47614624512264164,6.8667,4.4163,6.8588000000000005,4.5556,win
0.283,0.2647,0.4147,0.3989,0.364,0.3566,3.3478,2.9368,0.2861,0.2171,0.3525,0.3484,1.5181,1.5,5.3133,5.4519,0.7059,0.7143,0.4842096675799798,0.4632993619275078,0.4884,0.4884,0.475,0.7787,0.7555,0.267475,0.264145,15.604099439999999,18.25187082,0.04455539161111111,0.04457916666666667,0.4863048337899899,0.46914968096375387,4.4094999999999995,3.957,8.1759,8.2317,win
0.2797,0.3011,0.4168,0.4881,0.3572,0.3806,3.2947,4.8947,0.2895,0.2418,0.3077,0.3186,1.2105,1.3164,3.3158,5.0776,0.6667,0.6316,0.34285638153578557,0.611480613018486,0.3935,0.3935,0.583,0.774,0.8687,0.26494,0.27547,16.22984626,16.72916872,0.03705071499999999,0.03875189066666667,0.3681781907678928,0.597240306509243,4.3484,6.064500000000001,5.7902,7.586,lose
0.2945,0.2962,0.5016,0.4545,0.3821,0.3784,3.9897,3.8065,0.2456,0.25,0.3023,0.2948,1.1898,1.2,3.5474,3.4425,0.8095,0.65,0.48267532026872323,0.5271594557526236,0.4631,0.4631,0.5141,0.8837,0.8329,0.297345,0.29568000000000005,13.503178100000001,13.73454225,0.03908889600000001,0.039646,0.4728876601343616,0.5206297278763118,5.1678999999999995,4.9356,6.0946,5.8373,lose
0.3105,0.2796,0.5182,0.4626,0.3877,0.3538,5.3438,3.3474,0.3071,0.336,0.3769,0.4276,1.7471,1.7609,6.3529,7.9239,0.75,0.6,0.5861124937336556,0.46563952845662787,0.5662,0.5662,0.4781,0.9058999999999999,0.8164,0.30401500000000004,0.28876,21.26569746,42.34373682,0.056054732888888896,0.05948222372222223,0.5761562468668278,0.47186976422831395,6.5602,4.4434000000000005,9.533999999999999,11.048399999999999,win
0.2831,0.2594,0.4149,0.4003,0.3659,0.3529,3.6559,2.9583,0.2579,0.2736,0.3095,0.3658,1.3075,1.5849,4.0299,5.434,0.7222,0.619,0.4916823564017392,0.45736666517687374,0.4894,0.4894,0.4692,0.7807999999999999,0.7532,0.26838,0.26253,11.921653169999999,19.8661606,0.038139775,0.047261718,0.4905411782008696,0.4632833325884369,4.719799999999999,3.9709,6.627,8.2773,win
0.2781,0.3018,0.4082,0.4778,0.3574,0.3788,3.1563,5.3125,0.2436,0.2767,0.3656,0.3318,1.6034,1.3398,5.5862,4.6311,0.75,0.6667,0.3406785272692926,0.6143759632353604,0.3927,0.3927,0.5856,0.7656000000000001,0.8566,0.26288,0.27251000000000003,29.6766875,14.61714093,0.04854917044444445,0.039134069333333334,0.36668926363464627,0.5999879816176802,4.2,6.4709,8.5488,7.246099999999999,lose
0.2891,0.3021,0.4891,0.4683,0.3745,0.3852,4.1735,4.0213,0.2475,0.2844,0.3086,0.3455,1.2913,1.491,4.1068,4.6886,0.7895,0.5455,0.4801348155846009,0.5297827546372805,0.4623,0.4623,0.5167,0.8635999999999999,0.8534999999999999,0.2908,0.29561499999999996,16.514674839999998,19.5678721,0.04241418327777777,0.04817586666666667,0.4712174077923005,0.5232413773186403,5.3262,5.1769,6.7437000000000005,7.3549999999999995,win
0.2949,0.3082,0.4465,0.5179,0.3761,0.3866,4.3368,5.5361,0.1933,0.3,0.2941,0.4134,1.1143,1.9364,2.0571,6.6273,1.0,0.6316,0.527599589461138,0.5865281147149364,0.5146,0.5146,0.567,0.8226,0.9045000000000001,0.28087,0.28559500000000004,11.38831131,28.74127464,0.03535983427777779,0.06043074088888889,0.521099794730569,0.5767640573574682,5.4543,6.7488,4.6588,9.908700000000001,win
0.266,0.2779,0.4343,0.4122,0.3406,0.3548,2.8333,2.9897,0.1875,0.318,0.2778,0.4047,1.0714,1.883,1.9286,7.7553,1.0,0.5263,0.46484840871603783,0.33446734742002354,0.4774,0.4774,0.3919,0.7749,0.767,0.261845,0.268235,5.76593542,21.973091489999998,0.03193188655555555,0.05478379277777778,0.47112420435801894,0.3631836737100118,3.8742,4.0346,4.4653,10.8873,lose
